Origin,Destination,Class,Carrier,Flight Number,Distance (KM),International,Operating Carrier,Total Price,Currency,Departure Date,Departure Time,Arrival Date,Arrival Time
PAT,CCU,ECONOMY,6E,342,472.65103,False,IndiGo,173.77,USD,2024-12-23,19:25:00,2024-12-23,20:35:00
CCU,DEL,ECONOMY,6E,493,1314.3622,False,IndiGo,169.97,USD,2024-12-31,19:15:00,2024-12-31,21:40:00
CCU,DEL,ECONOMY,6E,508,1314.3622,False,IndiGo,165.97,USD,2024-12-31,22:30:00,2025-01-01,01:00:00
CCU,DEL,ECONOMY,AI,703,1314.3622,False,Air India,164.01,USD,2024-12-31,04:50:00,2024-12-31,07:20:00
CCU,DEL,ECONOMY,AI,763,1314.3622,False,Air India,164.01,USD,2024-12-31,07:20:00,2024-12-31,09:45:00
CCU,DEL,ECONOMY,AI,768,1314.3622,False,Air India,170.24,USD,2024-12-31,16:15:00,2024-12-31,18:50:00
DEL,IDR,ECONOMY,6E,902,662.15894,False,IndiGo,164.01,USD,2024-12-23,17:30:00,2024-12-23,19:00:00
CCU,DEL,ECONOMY,6E,2079,1314.3622,False,IndiGo,169.97,USD,2024-12-31,20:50:00,2024-12-31,23:15:00
DEL,GOP,ECONOMY,6E,2087,658.00726,False,IndiGo,173.77,USD,2024-12-23,14:20:00,2024-12-23,15:45:00
DEL,PAT,ECONOMY,6E,2214,857.90076,False,IndiGo,173.77,USD,2024-12-23,16:10:00,2024-12-23,17:45:00
CCU,DEL,ECONOMY,6E,5194,1314.3622,False,IndiGo,172.97,USD,2024-12-31,08:15:00,2024-12-31,10:45:00
DEL,HYD,ECONOMY,6E,6019,1268.0001,False,IndiGo,164.01,USD,2024-12-23,10:45:00,2024-12-23,13:05:00
IDR,CCU,ECONOMY,6E,6566,1298.1923,False,IndiGo,164.01,USD,2024-12-23,20:25:00,2024-12-23,22:25:00
HYD,CCU,ECONOMY,6E,6907,1209.1342,False,IndiGo,164.01,USD,2024-12-23,14:20:00,2024-12-23,16:20:00
GOP,CCU,ECONOMY,6E,7306,680.0493,False,IndiGo,173.77,USD,2024-12-23,17:05:00,2024-12-23,18:50:00
