Origin,Destination,Departure,Arrival,Class,Carrier,Flight Number,Distance (KM),International,Operating Carrier,Total Price,Currency
DEL,IST,2025-01-23T06:40:00+05:30,2025-01-23T11:15:00+03:00,ECONOMY,6E,11,4570.9688,True,IndiGo,821.97,USD
WAW,DEL,2024-12-29T17:50:00+01:00,2024-12-30T05:50:00+05:30,ECONOMY,LO,71,5268.704,True,LOT,674.97,USD
DEL,WAW,2025-01-23T07:40:00+05:30,2025-01-23T12:00:00+01:00,ECONOMY,LO,72,5268.704,True,LOT,674.97,USD
SAW,FCO,2025-01-24T12:05:00+03:00,2025-01-24T12:55:00+01:00,ECONOMY,VF,73,1426.3412,True,Valuair,800.97,USD
DOH,FCO,2025-01-23T16:00:00+03:00,2025-01-23T20:05:00+01:00,ECONOMY,QR,113,4042.0576,True,Qatar Airways,831.97,USD
KWI,SAW,2025-01-24T03:35:00+03:00,2025-01-24T07:25:00+03:00,ECONOMY,VF,198,2132.2798,True,Valuair,800.97,USD
WAW,FCO,2025-01-23T16:00:00+01:00,2025-01-23T18:30:00+01:00,ECONOMY,LO,303,1327.4897,True,LOT,674.97,USD
FCO,WAW,2024-12-28T19:30:00+01:00,2024-12-28T22:00:00+01:00,ECONOMY,LO,304,1327.4897,True,LOT,674.97,USD
RUH,DEL,2024-12-28T20:50:00+03:00,2024-12-29T03:20:00+05:30,ECONOMY,XY,329,3039.624,True,Flynas,852.97,USD
DEL,DOH,2025-01-23T09:55:00+05:30,2025-01-23T11:50:00+03:00,ECONOMY,QR,571,2552.0828,True,Qatar Airways,831.97,USD
ADD,DEL,2024-12-28T15:55:00+03:00,2024-12-29T00:55:00+05:30,ECONOMY,ET,688,4556.8276,True,Ethiopian,800.97,USD
DEL,ADD,2025-01-23T09:35:00+05:30,2025-01-23T13:50:00+03:00,ECONOMY,ET,689,4556.8276,True,Ethiopian,861.97,USD
ADD,FCO,2025-01-24T00:05:00+03:00,2025-01-24T04:35:00+01:00,ECONOMY,ET,712,4485.8735,True,Ethiopian,861.97,USD
FCO,ADD,2024-12-28T06:00:00+01:00,2024-12-28T13:40:00+03:00,ECONOMY,ET,717,4485.8735,True,Ethiopian,800.97,USD
KWI,SAW,2025-01-24T02:10:00+03:00,2025-01-24T05:55:00+03:00,ECONOMY,PC,859,2132.2798,True,Pegasus ,842.97,USD
SAW,FCO,2025-01-24T10:40:00+03:00,2025-01-24T11:20:00+01:00,ECONOMY,PC,1223,1426.3412,True,Pegasus ,842.97,USD
DEL,KWI,2025-01-23T21:00:00+05:30,2025-01-23T23:15:00+03:00,ECONOMY,6E,1231,2832.097,True,IndiGo,800.97,USD
BOM,KWI,2025-01-23T19:55:00+05:30,2025-01-23T22:10:00+03:00,ECONOMY,6E,1235,2760.663,True,IndiGo,861.97,USD
DEL,AUH,2025-01-23T20:35:00+05:30,2025-01-23T23:20:00+04:00,ECONOMY,6E,1405,2279.442,True,IndiGo,880.97,USD
BOM,AUH,2025-01-23T21:30:00+05:30,2025-01-23T23:15:00+04:00,ECONOMY,AI,2255,1972.9297,True,Air India,840.97,USD
BUD,RUH,2024-12-28T11:30:00+01:00,2024-12-28T18:45:00+03:00,ECONOMY,W6,2297,3477.9053,True,Wizzair,840.97,USD
DEL,BOM,2025-01-23T11:40:00+05:30,2025-01-23T13:50:00+05:30,ECONOMY,AI,2945,1138.1091,False,Air India,852.97,USD
DEL,BOM,2025-01-23T17:55:00+05:30,2025-01-23T20:00:00+05:30,ECONOMY,AI,2955,1138.1091,False,Air India,840.97,USD
IST,FCO,2025-01-23T17:40:00+03:00,2025-01-23T18:20:00+01:00,ECONOMY,6E,4187,1373.2063,True,Turkish Airlines,821.97,USD
DEL,BOM,2025-01-23T15:00:00+05:30,2025-01-23T17:20:00+05:30,ECONOMY,6E,6022,1138.1091,False,IndiGo,861.97,USD
AUH,TIA,2025-01-24T09:15:00+04:00,2025-01-24T12:20:00+01:00,ECONOMY,5W,7091,3735.1526,True,Iceland Express,840.97,USD
CIA,BUD,2024-12-28T06:55:00+01:00,2024-12-28T08:35:00+01:00,ECONOMY,FR,8246,818.0059,True,Mokulele Airlines,840.97,USD
TIA,CIA,2025-01-24T14:40:00+01:00,2025-01-24T16:05:00+01:00,ECONOMY,FR,8360,594.2549,True,Mokulele Airlines,840.97,USD
