Origin,Destination,Departure,Arrival,Class,Carrier,Flight Number,Distance (KM),International,Operating Carrier,Total Price,Currency
PAT,DEL,2024-12-27T20:35:00+05:30,2024-12-27T22:25:00+05:30,ECONOMY,AI,896,857.90076,False,Air India,116,USD
DEL,IXC,2025-01-15T07:55:00+05:30,2025-01-15T08:50:00+05:30,ECONOMY,6E,2316,237.39793,False,IndiGo,116,USD
IXC,PAT,2025-01-15T11:30:00+05:30,2025-01-15T13:15:00+05:30,ECONOMY,6E,6394,991.31604,False,IndiGo,116,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,16556.28,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,16910.28,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,16926.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17135.96,USD
BLR,LHR,2024-12-26T07:15:00+05:30,2024-12-26T13:20:00Z,BUSINESS,BA,118,8055.116,True,British Airways,17766.96,USD
LHR,JFK,2024-12-26T15:35:00Z,2024-12-26T18:40:00-05:00,BUSINESS,BA,1506,5546.127,True,American,16556.28,USD
LHR,JFK,2024-12-26T15:35:00Z,2024-12-26T18:40:00-05:00,BUSINESS,BA,1506,5546.127,True,American,16910.28,USD
LHR,JFK,2024-12-26T15:35:00Z,2024-12-26T18:40:00-05:00,BUSINESS,BA,1506,5546.127,True,American,16926.96,USD
LHR,JFK,2024-12-26T15:35:00Z,2024-12-26T18:40:00-05:00,BUSINESS,BA,1506,5546.127,True,American,17135.96,USD
LHR,JFK,2024-12-26T15:35:00Z,2024-12-26T18:40:00-05:00,BUSINESS,BA,1506,5546.127,True,American,17766.96,USD
JFK,LAX,2024-12-26T21:00:00-05:00,2024-12-27T00:29:00-08:00,BUSINESS,BA,4689,3977.8777,False,American,16556.28,USD
JFK,LAX,2024-12-26T21:00:00-05:00,2024-12-27T00:29:00-08:00,BUSINESS,BA,4689,3977.8777,False,American,16910.28,USD
